country,changes_in_happiness_scores,whisker_high,whisker_low,column_e,figure_2_3_changes_in_happiness_from_2005_2007_to_2014_2016
Belize,-0.4949979782104492,-0.19054971337318422,-0.7994462430477143,,
Croatia,-0.5277090072631836,-0.3554646152257919,-0.6999533993005753,,
Jordan,-0.6053590774536133,-0.4595094630122185,-0.751208691895008,,
Cyprus,-0.6170892715454102,-0.4537106928229332,-0.7804678502678871,,
Egypt,-0.6235036849975586,-0.4700764584541321,-0.776930911540985,,
Iran,-0.6287336349487305,-0.4844230306148529,-0.773044239282608,,
Spain,-0.6692323684692383,-0.5617481181025505,-0.776716618835926,,
Rwanda,-0.7439446449279785,-0.6196464729309082,-0.8682428169250488,,
Italy,-0.7486252784729004,-0.618776512145996,-0.8784740447998047,,
Ghana,-0.7565908432006836,-0.5786623403429985,-0.9345193460583687,,
Tanzania,-0.7762644290924072,-0.6124988526105881,-0.9400300055742263,,
Saudi Arabia,-0.8289828300476074,-0.7009390115737915,-0.9570266485214234,,
India,-0.8390507698059082,-0.7389812262356281,-0.9391203133761883,,
Yemen,-0.8840291500091553,-0.7150776633620262,-1.0529806366562844,,
Jamaica,-0.8973431587219238,-0.5757719552516938,-1.2189143621921539,,
Ukraine,-0.929771900177002,-0.7855111363530158,-1.074032664000988,,
Botswana,-0.9729206562042236,-0.7929290220141411,-1.152912290394306,,
Greece,-1.0993752479553223,-0.9477726104855537,-1.2509778854250908,,
Central African Republic,-1.4670684337615967,-1.2528801056742669,-1.6812567618489265,,
Venezuela,-1.5970182418823242,-1.4342042204737664,-1.759832263290882,,
